"REGION","CLIMATE","STATE","TOTAL_HOUSEHOLDS","HEATING_EQUIPMENT_TYPE","NUM_HOUSEHOLDS","PERCENTAGE"
"WEST","COLD","COLORADO",2259861,"MINISPLIT",0,0
"WEST","COLD","COLORADO",2259861,"OTHER",9139,0.4
"NORTHEAST","COLD","CONNECTICUT",1381897,"DO NOT USE HEATER",0,0
"NORTHEAST","COLD","CONNECTICUT",1381897,"STEAM OR HOT WATER SYSTEM WITH RADIATORS OR PIPES",319204,23.1
"NORTHEAST","COLD","CONNECTICUT",1381897,"CENTRAL FURNACE",836490,60.5
"NORTHEAST","COLD","CONNECTICUT",1381897,"CENTRAL HEAT PUMP",20057,1.4
"NORTHEAST","COLD","CONNECTICUT",1381897,"BUILT-IN ELECTRIC UNITS IN WALLS/CEILINGS/BASEBOARDS/FLOORS",144393,10.4
"NORTHEAST","COLD","CONNECTICUT",1381897,"BUILT-IN ROOM HEATER BURNING GAS OR OIL",26459,1.9
"NORTHEAST","COLD","CONNECTICUT",1381897,"WOOD OR PELLET STOVE",8293,0.6
"NORTHEAST","COLD","CONNECTICUT",1381897,"PORTABLE ELECTRIC HEATER",9379,0.7
"NORTHEAST","COLD","CONNECTICUT",1381897,"MINISPLIT",3315,0.2
"NORTHEAST","COLD","CONNECTICUT",1381897,"OTHER",14306,1
"SOUTH","MIXED-HUMID","DELAWARE",380454,"DO NOT USE HEATER",2710,0.7
"SOUTH","MIXED-HUMID","DELAWARE",380454,"STEAM OR HOT WATER SYSTEM WITH RADIATORS OR PIPES",18026,4.7
"SOUTH","MIXED-HUMID","DELAWARE",380454,"CENTRAL FURNACE",235912,62
"SOUTH","MIXED-HUMID","DELAWARE",380454,"CENTRAL HEAT PUMP",76174,20
"SOUTH","MIXED-HUMID","DELAWARE",380454,"BUILT-IN ELECTRIC UNITS IN WALLS/CEILINGS/BASEBOARDS/FLOORS",21399,5.6
"SOUTH","MIXED-HUMID","DELAWARE",380454,"BUILT-IN ROOM HEATER BURNING GAS OR OIL",4848,1.3
"SOUTH","MIXED-HUMID","DELAWARE",380454,"WOOD OR PELLET STOVE",3292,0.9
